Model,MAE,RMSE,MAPE (%),R2,Training Time (s),Inference Time (ms)
Naive,1349.9745024875622,1961.4796940509298,13.945441418432553,0.9348564902109393,0.0,0.0
Seasonal Naive,1307.5111940298507,1925.339555081956,13.482074501761035,0.9372349054768914,0.0,0.0
Linear Regression,1089.6491239585512,1527.9883012446946,12.284369272209048,0.960468474033557,0.0,0.0
LSTM Encoder-Decoder,1253.9630126953125,1756.19482421875,13.615481555461884,0.9477785493863267,27.71237564086914,0.43754169234523066
Transformer,1050.3612060546875,1503.975341796875,11.42546534538269,0.9617012213721453,12.387264966964722,0.7533820139037238
